derived_word,origin_w,chapter,deck,meaning,example,viewed,status
meek,Modest,3,2,"Quiet, gentle, and easily imposed on; submissive.","""Yes papa,"" she said in a meek voice.",0,0
resigned,Modest,3,2,Having accepted something unpleasant that one cannot do anything about.,I tried to appear resigned to defeat.,0,0
self-effacing,Modest,3,2,Not claiming attention for oneself; retiring and modest.,"There's nothing he loves more than self-effacing honesty, even if it's usually found in others and rarely himself.",0,0
temperate,Modest,3,2,Showing moderation or self-restraint.,Charles was temperate in his consumption of both food and drink,0,0
unassertive,Modest,3,2,(of a person) not having or showing a confident and forceful personality.,"The condition also may be related to low self-esteem, unassertive personality, and feelings of inferiority.",0,0
unobtrusive,Modest,3,2,Not conspicuous or attracting attention.,"He usually dressed in black, with unobtrusive propriety.",0,0
unpretentious,Modest,3,2,"Not attempting to impress others with an appearance of greater importance, talent, or culture than is actually possessed.","Although she was wealthy, she lived in an unpretentious house.",0,0
altruistic,Generous with money,3,3,Showing a disinterested and selfless concern for the well-being of others; unselfish.,Animals can have more altruistic behavior than humans.,0,0
benevolent,Generous with money,3,3,Well meaning and kindly.,Long Cross Farm is reputedly haunted by a very benevolent spirit.,0,0
munificent,Generous with money,3,3,Characterized by or displaying great generosity.,He enjoys being munificent on a princely scale.,0,0
philanthropic,Generous with money,3,3,(of a person or organization) seeking to promote the welfare of others; generous and benevolent.,It is the seat of several educational and philanthropic institutions.,0,0
extravagant,Wasteful with money,3,3,Lacking restraint in spending money or using resources.,She always sent extravagant gifts to her daughter.,0,0
lavish,Wasteful with money,3,3,"Sumptuously rich, elaborate, or luxurious.",Nature has been niggard of rain but lavish in soil and sun.,0,0
prodigal,Wasteful with money,3,3,Spending money or using resources freely and recklessly; wastefully extravagant.,"They live frugally, and are only prodigal in powder and human life.",0,0
profligate,Wasteful with money,3,3,Recklessly extravagant or wasteful in the use of resources.,You have profited by their toil to lead a profligate life.,0,0
spendthrift,Wasteful with money,3,3,"A person who spends money in an extravagant, irresponsible way.",His great plan did little to curb the spendthrift state.,0,0
braggadocio,Bragging,3,3,Boastful or arrogant behaviour.,There's a fine but definitive line between being a braggadocio and healthy self-promotion.,0,0
braggart,Bragging,3,3,A person who boasts about their achievements or possessions.,"You sound like a braggart, so you should try to be more humble.",0,0
bravado,Bragging,3,3,A bold manner or a show of boldness intended to impress or intimidate.,Take no notice of his threats they're sheer bravado.,0,0
gasconade,Bragging,3,3,Extravagant boasting.,"The politician loved to gasconade about his poll numbers, high donations, and success to anyone who would listen.",0,0
prate,Bragging,3,3,Talk foolishly or at tedious length about something.,I can't stand to hear him prate on and on about his new hobby.,0,0
rodomontade,Bragging,3,3,Boastful or inflated talk or behaviour.,"So absurd rodomontade , people nature can be anounced derisive.",0,0
vaunt,Bragging,3,3,"Boast about or praise (something), especially excessively.",Their much vaunted reforms did not materialize.,0,0
avert,Prevent,3,3,Turn away (one's eyes or thoughts),She didn't avert her gaze this time.,0,0
forestall,Prevent,3,3,Prevent or obstruct (an anticipated event or action) by taking advance action.,But to forestall the French with his whole army was impossible.,0,0
obviate,Prevent,3,3,Remove (a need or difficulty),Climatic conditions obviate the necessity of any superfluity of clothing.,0,0
preclude,Prevent,3,3,Prevent from happening; make impossible.,We will preclude it from consideration.,0,0
prohibit,Prevent,3,3,"Formally forbid (something) by law, rule, or other authority.","Indeed, the trouble and expense of these moulds sometimes prohibit its use.",0,0
economical,Careful with money,4,1,"Giving good value or return in relation to the money, time, or effort expended.",An economical method of evaporation must be found.,0,0
frugal,Careful with money,4,1,Sparing or economical as regards money or food.,"In business transactions Alex was frugal with his money, but when it came to his family, he was generous.",0,0
thrifty,Cheap with money,4,1,Using money and other resources carefully and not wastefully.,He was thrifty and anxious to leave to his son a full treasury.,0,0
miserly,Cheap with money,4,1,Of or characteristic of a miser.,He is miserly with both his time and his money.,0,0
parsimonious,Cheap with money,4,1,Very unwilling to spend money or use resources.,She's too parsimonious to heat the house properly.,0,0
determinate,Less change,4,1,Having exact and discernible limits or form.,"There is no determinate object, then, which we can call the meaning of this sentence.",0,0
entrenched,Less change,4,1,"(of an attitude, habit, or belief) firmly established and difficult or unlikely to change; ingrained.",Our soldiers have entrenched themselves behind the battle lines.,0,0
fixity,Less change,4,1,The state of being unchanging or permanent.,For to hold a person to be a responsible agent is to believe that he possesses a certain fixity and stability of character.,0,0
immutable,Less change,4,1,Unchanging over time or unable to be changed.,The actions of men are subject to general immutable laws expressed in statistics.,0,0
inert,Less change,4,1,Lacking the ability or strength to move.,He covered the inert body with a blanket.,0,0
ingrained,Less change,4,1,"(of a habit, belief, or attitude) firmly fixed or established; difficult to change.",She wanted to wake up with his scent ingrained in her skin.,0,0
invariable,Less change,4,1,Never changing.,The possible forms of the invariable cone are indicated in fig.,0,0
inviolate,Less change,4,1,Free or safe from injury or violation.,We believed our love was inviolate.,0,0
lodged,Less change,4,1,make or become firmly fixed or embedded in a place.,They had to remove a bullet lodged near his spine,0,0
rooted,Less change,4,1,"The part of a plant which attaches it to the ground or to a support, typically underground, conveying water and nourishment to the rest of the plant via numerous branches and fibres.",They rooted out all the dead plants.,0,0
steadfast,Less change,4,1,Resolutely or dutifully firm and unwavering.,He remained steadfast in his belief that he had done the right thing.,0,0
unfailing,Less change,4,1,Without error or fault.,She fought the disease with unfailing good humour.,0,0
catalyst,Changing,4,1,an event or person that causes great change,His belligerent attitude toward car driving became the catalyst for this thought provoking drama.,0,0
commutation,Changing,4,1,The action or process of commuting a judicial sentence.,He appealed for commutation of the death sentence to life imprisonment.,0,0
metamorphosis,Changing,4,1,(in an insect or amphibian) the process of transformation from an immature form to an adult form in two or more distinct stages.,A butterfly is produced by metamorphosis from a caterpillar.,0,0
mutable,Changing,4,1,Liable to change.,"Lists are mutable, but what exactly does that mean?",0,0
transfiguration,Changing,4,1,A complete change of form or appearance into a more beautiful or spiritual state.,It was less a reform than a transfiguration.,0,0
transformation,Changing,4,1,"A marked change in form, nature, or appearance.","The transformation was quick and smooth, not at all violent.",0,0
transmogrify,Changing,4,1,Transform in a surprising or magical manner.,"Almost overnight, that sweet little child had transmogrified into an anti-social monster.",0,0
transmutation,Changing,4,1,The action of changing or the state of being changed into another form.,This transmutation of the old into new life is seen everywhere in China.,0,0
monotony,Less variation,4,1,Lack of variety and interest; tedious repetition and routine.,Nothing could add to the sterility and the monotony of these mallee scrubs.,0,0
tedium,Less variation,4,1,The state or quality of being tedious.,"Still, there are steps you can take to alleviate the tedium and inject a little bit of fun into your workouts.",0,0
banausic,Less variation,4,1,Not operating on an elevated level; mundane.,That building was more banausic than inspired.,0,0
monotonous,Less variation,4,1,"Dull, tedious, and repetitious; lacking in variety and interest.",Jonny's voice was coldly monotonous but soft.,0,0
pabulum,Less variation,4,1,"Bland or insipid intellectual matter, entertainment, etc.",All they will be pabulum of your life.,0,0
pedestrian,Less variation,4,1,A person walking rather than travelling in a vehicle.,The pedestrian stopped at the curbside.,0,0
prosaic,Less variation,4,1,Having or using the style or diction of prose as opposed to poetry; lacking imaginativeness or originality.,"There is some poetry in this composition, but it alternates with very prosaic details.",0,0
routine,Less variation,4,1,A sequence of actions regularly followed.,In a few more weeks she could make a routine visit to the doctor.,0,0
soporific,Less variation,4,1,Tending to induce drowsiness or sleep.,I dozed off during the soporific music.,0,0
tedious,Less variation,4,1,"Too long, slow, or dull; tiresome or monotonous.","It gets tedious, but I get a kick out of doing it that way.",0,0
conspicuous,Flashy,4,2,Clearly visible.,The skunk had a conspicuous spinal stripe.,0,0
ostentatious,Flashy,4,2,Characterized by pretentious or showy display; designed to impress.,They criticized the ostentatious lifestyle of their leaders.,0,0
bearish,Awkward,4,2,"Resembling or likened to a bear, typically in being rough, surly, or clumsy.",Yet he remains bearish about the future direction of share prices.,0,0
boorish,Awkward,4,2,Rough and bad-mannered; coarse.,Laptop bags don't have to be boorish black canvas pieces with uninspired textures and a reasonable price.,0,0
churlish,Awkward,4,2,Rude in a mean-spirited and surly way.,"Sometimes sullen, childish and occasionally downright churlish, you've been known to try the patience of your loved ones!",0,0
cloddish,Awkward,4,2,"Foolish, awkward, or clumsy.",He cannot prevent the reader from preferring Ethan Brand to the cloddish villagers of the tale.,0,0
coarse,Awkward,4,2,Rough or harsh in texture.,The river abounds in coarse fish.,0,0
gruff,Awkward,4,2,(of a voice) rough and low in pitch.,Hilden's gruff voice was gentle.,0,0
inurbane,Awkward,4,2,lacking in refinement or courtesy,Peace the inurbane parties and maintain the stability of society.,0,0
loutish,Awkward,4,2,(of a man or boy) uncouth and aggressive; thuggish.,He was not as loutish as his manner suggested.,0,0
lowbred,Awkward,4,2,Characterized by coarse behavior or vulgar breeding.,She gave him a lowbred answer.,0,0
oafish,Awkward,4,2,Rough or clumsy and unintelligent.,"The bodyguards, as usual, were brave but oafish.",0,0
swinish,Awkward,4,2,Unpleasant or contemptible.,A victim of a swinish system.,0,0
uncouth,Awkward,4,2,"Lacking good manners, refinement, or grace.",He disliked the uncouth style of the Scriptures.,0,0
impregnable,Resistant,4,2,(of a fortified position) unable to be captured or broken into.,They will establish impregnable fortresses.,0,0
impervious,Resistant,4,2,Not allowing fluid to pass through.,"He wasn't impervious to harm, much as he might think so.",0,0
impermeable,Resistant,4,2,Not allowing fluid to pass through.,These and similar rocks are impermeable.,0,0
impenetrable,Resistant,4,2,Impossible to pass through or enter.,"One hauled it open, and she peered into the impenetrable depths.",0,0
invulnerable,Resistant,4,2,Impossible to harm or damage.,"No one is invulnerable to temptation, Damian.",0,0
unassailable,Resistant,4,2,"Unable to be attacked, questioned, or defeated.",The result gave the team an unassailable lead.,0,0
oppressive,Difficult,4,2,Inflicting harsh and authoritarian treatment.,Is intended to prevent the king from collecting the money owing to him in an oppressive manner.,0,0
burdensome,Difficult,4,2,Difficult to carry out or fulfil; taxing.,"Burdensome rites, it became in some sort a support.",0,0
onerous,Difficult,4,2,"(of a task or responsibility) involving a great deal of effort, trouble, or difficulty.","His duties were thus rendered exceedingly onerous, and his labour became excessive.",0,0
arduous,Difficult,4,2,Involving or requiring strenuous effort; difficult and tiring.,It was an arduous climb up the mountain.,0,0
backbreaking,Difficult,4,2,(of manual labour) physically demanding.,You'll put in the backbreaking work and then be upset when no one wants to eat the end product.,0,0
cumbersome,Difficult,4,2,Large or heavy and therefore difficult to carry or use; unwieldy.,The large lockers were cumbersome and heavy.,0,0
exacting,Difficult,4,2,"Making great demands on one's skill, attention, or other resources.",These exacting tasks did not absorb all his energies.,0,0
formidable,Difficult,4,2,"Inspiring fear or respect through being impressively large, powerful, intense, or capable.","He does have a formidable temper, you know.",0,0
laborious,Difficult,4,2,Requiring considerable time and effort.,Away from his father he maintained his laborious habits.,0,0
taxing,Difficult,4,2,Physically or mentally demanding.,In 1 712 he was the author of the bill taxing newspapers.,0,0
ameliorate,To improve,4,3,Make (something bad or unsatisfactory) better.,He wanted to ameliorate the present suffering.,0,0
amend,To improve,4,3,"Make minor changes to (a text, piece of legislation, etc.) in order to make it fairer or more accurate, or to reflect changing circumstances.","Bills may originate in either house, and either house may amend the bills of the other house.",0,0
enrich,To improve,4,3,Improve or enhance the quality or value of.,Numerous small affluents of the Missouri enrich and diversify the north-east quarter.,0,0
pacify,To improve,4,3,"Quell the anger, agitation, or excitement of.",Then Henry set to work to pacify and restore prosperity to his kingdom.,0,0
upgrade,To improve,4,3,"Raise (something) to a higher standard, in particular improve (equipment or machinery) by adding or replacing components.",Will the upgrade affect the performance of the software?,0,0
brace,To support,4,3,"A device fitted to something, in particular a weak or injured part of the body, to give support.",Look for anything to brace the door!,0,0
bolster,To support,4,3,"A long, thick pillow that is placed under other pillows for support.",Falling interest rates may help to bolster up the economy.,0,0
buttress,To support,4,3,A structure of stone or brick built against a wall to strengthen or support it.,You need more facts to buttress up your argument.,0,0
underpin,To support,4,3,Support (a building or other structure) from below by laying a solid foundation below ground level or by substituting stronger for weaker materials.,Certain qualities and values underpin good journalism.,0,0
attenuate,Weaken,4,3,"Reduce the force, effect, or value of.","In a forest, wet wood and needles attenuate the signals.",0,0
debilitate,Weaken,4,3,Make (someone) very weak and infirm.,It is expected that the illness will debilitate him for at least another week.,0,0
devitalize,Weaken,4,3,Deprive of strength and vigour.,Its effect must have also been to devitalize the oxygen and nitrogen of the atmosphere.,0,0
enervate,Weaken,4,3,Make (someone) feel drained of energy or vitality.,The hot sun enervated her to the point of collapse.,0,0
enfeeble,Weaken,4,3,Make weak or feeble.,In California there was nothing new about enfeebled parties.,0,0
rarefy,Weaken,4,3,Make or become less dense or solid.,Everyone ought to rarefy his spiritual life.,0,0
sap,Weaken,4,3,"The fluid which circulates in the vascular system of a plant, consisting chiefly of water with dissolved sugars and mineral salts.",Eventually it was found that the best plan was to sap through them.,0,0
unnerve,Weaken,4,3,Make (someone) lose courage or confidence.,He hoped to unnerve Kennedy and force him into concessions.,0,0
abet,Lessen,4,3,"Encourage or assist (someone) to do something wrong, in particular to commit a crime.",He was abetted in these illegal activities by his wife.,0,0
allay,Lessen,4,3,"Diminish or put at rest (fear, suspicion, or worry)",Elisabeth stood at the piano which did nothing to allay his anxiety.,0,0
alleviate,Lessen,4,3,"to make (something, such as pain or suffering) more bearable",The organization works to alleviate world hunger and disease.,0,0
assuage,Lessen,4,3,to lessen the intensity of (something that pains or distresses),Talking to her helped to assuage my guilt.,0,0
conciliate,Lessen,4,3,Stop (someone) being angry or discontented; placate.,"His duty was to conciliate the people, not to provoke them.",0,0
mitigate,Lessen,4,3,"Make (something bad) less severe, serious, or painful.",Good information on a product can mitigate this problem.,0,0
moderate,Lessen,4,3,"Average in amount, intensity, quality, or degree.","Ears of moderate or small size, ovate, pointed.",0,0
mollify,Lessen,4,3,Appease the anger or anxiety of (someone),I tried to mollify her by giving her flowers.,0,0
palliate,Lessen,4,3,Make (a disease or its symptoms) less severe without removing the cause.,"Chosen carefully, the oils may not only palliate but also cure the condition.",0,0
placate,Lessen,4,3,Make (someone) less angry or hostile.,I don't need you to placate me!,0,0
critical,Urgent,4,3,Expressing adverse or disapproving comments or judgements.,At least he didn't look so critical now.,0,0
imperative,Urgent,4,3,Of vital importance; crucial.,Water is imperative for survival.,0,0
exigent,Urgent,4,3,Pressing; demanding.,So it is a important and exigent problem to estimate the software project's size.,0,0
cacophony,Harsh noises,5,1,A harsh discordant mixture of sounds.,All around was bubbling a cacophony of voices.,0,0
clamor,Harsh noises,5,1,"A loud and confused noise, especially that of people shouting.","There is no doubt that the troubled Rodman will clamor for the spotlight, just as he did during his tenure on the show.",0,0
contention,Harsh noises,5,1,Heated disagreement.,"And yet, this latest contention was about inheritance, not love.",0,0
discord,Harsh noises,5,1,Disagreement between people.,A few years later discord arose among the allies.,0,0
disharmony,Harsh noises,5,1,Lack of harmony or agreement.,Too much or too little of certain elements creates an imbalance or disharmony.,0,0
din,Harsh noises,5,1,"A loud, unpleasant, and prolonged noise.",The space inside the wagons was a din of screaming mules and men.,0,0
dissonance,Harsh noises,5,1,Lack of harmony among musical notes.,This tone may be within dissonance range of one of the primaries.,0,0
dissension,Harsh noises,5,1,Disagreement that leads to discord.,Father's will caused much dissension among his children.,0,0
dissent,Harsh noises,5,1,The holding or expression of opinions at variance with those commonly or officially held.,He would brook no serious dissent.,0,0
dissidence,Harsh noises,5,1,Protest against official policy.,If there is any dissidence please contact us and we will delete it immediately.,0,0
vociferous,Harsh noises,5,1,Expressing or characterized by vehement opinions; loud and forceful.,The minority population became more vociferous in its demands.,0,0
baroque,Decorated,5,1,"Relating to or denoting a style of European architecture, music, and art of the 17th and 18th centuries that followed Mannerism and is characterized by ornate detail. In architecture the period is exemplified by the palace of Versailles and by the work of Wren in England. Major composers include Vivaldi, Bach, and Handel; Caravaggio and Rubens are important baroque artists.","The present church is baroque in style, but contains some works of art of earlier periods.",0,0
ornate,Decorated,5,1,Elaborately or highly decorated.,"The church of St Stephen, outside the town, retains its ornate Norman font.",0,0
flamboyant,Decorated,5,1,"(of a person or their behaviour) tending to attract attention because of their exuberance, confidence, and stylishness.",There is an example of flamboyant tracery in one of the windows.,0,0
rococo,Decorated,5,1,"Denoting furniture or architecture characterized by an elaborately ornamental late baroque style of decoration prevalent in 18th-century continental Europe, with asymmetrical patterns involving motifs and scrollwork.","Of the eleven churches, the most interesting is the cathedral of St Stephen, a florid, rococo edifice.",0,0
bandbox,Dapper,5,1,A circular cardboard box for carrying hats.,"In spite of the long trip, Jody arrived looking as if she had come out of a bandbox.",0,0
debonair,Dapper,5,1,"(of a man) confident, stylish, and charming.",Debonair activities such as art auctions and wine tastings.,0,0
faddish,Dapper,5,1,Intensely fashionable or popular for a short period of time.,We ate at a faddish new restaurant.,0,0
modish,Dapper,5,1,Conforming to or following what is currently popular and fashionable.,Its modish design makes it total different from all other watches.,0,0
posh,Dapper,5,1,Elegant or stylishly luxurious.,He takes her to some really posh restaurants.,0,0
rakish,Dapper,5,1,"Having or displaying a dashing, jaunty, or slightly disreputable quality or appearance.",He wore his hat at a rakish angle.,0,0
austere,Harsh appearance,5,1,Severe or strict in manner or attitude.,"The Sanctuary was plain to the point of austere, with no luxuries.",0,0
dour,Harsh appearance,5,1,"Relentlessly severe, stern, or gloomy in manner or appearance.","The game proved to be a dour struggle, with both men determined to win.",0,0
flinty,Harsh appearance,5,1,"Of, containing, or reminiscent of flint.",The head teacher has a rather flinty manner.,0,0
ghastly,Harsh appearance,5,1,Causing great horror or fear.,We had a ghastly holiday; it rained all the time.,0,0
grim,Harsh appearance,5,1,Very serious or gloomy.,Brady and Elise exchanged a grim look.,0,0
inimical,Harsh appearance,5,1,Tending to obstruct or harm.,Thenceforward France treated the papacy as an inimical power.,0,0
intimidating,Harsh appearance,5,1,"Having a frightening, overawing, or threatening effect.",This was no longer the intimidating woman of the morning—instead a child day-tripping to the zoo.,0,0
louring,Harsh appearance,5,1,The action of moving someone or something in a downward direction.,"The next day dawned overcast and louring, the clouds as black as soot.",0,0
rugged,Harsh appearance,5,1,"(of ground or terrain) having a broken, rocky, and uneven surface.",The rest of the island is rugged and mountainous.,0,0
severe,Harsh appearance,5,1,(of something bad or undesirable) very great; intense.,On such matters I am only severe with myself.,0,0
stark,Harsh appearance,5,1,Severe or bare in appearance or outline.,Her blood was a slash of stark red against a white marble floor.,0,0
steely,Harsh appearance,5,1,"Resembling steel in colour, brightness, or strength.",I was hypnotized by his steely grey eyes.,0,0
airy,Nice appearance,5,2,"(of a room or building) spacious, well lit, and well ventilated.",Airy hallways led through the hacienda style structure on either side of her.,0,0
agreeable,Nice appearance,5,2,Quite enjoyable and pleasurable; pleasant.,"You know, you were much more agreeable as a wolf.",0,0
alluring,Nice appearance,5,2,Powerfully and mysteriously attractive or fascinating; seductive.,She wore no makeup but some alluring perfume made her smell like heaven.,0,0
bonny,Nice appearance,5,2,Attractive or beautiful.,Both Eleanor and Blink Bonny won the Oaks as well as the Derby.,0,0
comely,Nice appearance,5,2,(typically of a woman) pleasant to look at; attractive.,"Though not comely, she possessed a lively mind and exuded a kind of sparkling charm.",0,0
fair,Nice appearance,5,2,Treating people equally without favouritism or discrimination.,They are fair and wise.,0,0
fetching,Nice appearance,5,2,Attractive.,She gave him her most fetching smile and stepped out of the hallway.,0,0
mesmeric,Nice appearance,5,2,Causing a person to become completely transfixed and unaware of their surroundings.,She gave a mesmeric performance.,0,0
pulchritudinous,Nice appearance,5,2,Beautiful,There are places where no girl can get work unless she's pulchritudinous.,0,0
winsome,Nice appearance,5,2,"Attractive or appealing in a fresh, innocent way.",She gave him her best winsome smile.,0,0
dainty,Delicate,5,2,Delicately small and pretty.,She has on a dainty lace dress and satin slippers.,0,0
diaphanous,Delicate,5,2,"(especially of fabric) light, delicate, and translucent.",The little light fades the immense and diaphanous shadows.,0,0
elegant,Delicate,5,2,Graceful and stylish in appearance or manner.,"And then he stepped forward, looking elegant in a dark tuxedo.",0,0
ethereal,Delicate,5,2,Extremely delicate and light in a way that seems not to be of this world.,Her hair fell softly around her face and she had an ethereal glow about her.,0,0
exquisite,Delicate,5,2,Extremely beautiful and delicate.,In the middle of the table sat an exquisite fall floral arrangement.,0,0
frail,Delicate,5,2,(of a person) weak and delicate.,"Dean noticed her frail form near the front, seated alone.",0,0
petite,Delicate,5,2,(of a woman) attractively small and dainty.,I've never been called petite in my life!,0,0
toothsome,Delicate,5,2,(of food) temptingly tasty.,"It is toothsome, but I can only eat half before it makes me feel a bit sick.",0,0
permeate,Penetrate,5,2,Spread throughout (something); pervade.,Water will easily permeate through the sand.,0,0
imbue,Penetrate,5,2,Inspire or permeate with (a feeling or quality),He was able to imbue even the friendliest words with a tone of biting criticism.,0,0
infuse,Penetrate,5,2,Fill; pervade.,"Like Van Gogh, you can infuse words with your own vision without becoming esoteric.",0,0
suffuse,Penetrate,5,2,Gradually spread through or over.,Her face was suffused with colour.,0,0
shirk,Ditch responsibilities,5,2,Avoid or neglect (a duty or responsibility),I didn't shirk my duties. I visited the sick and I preached the gospel.,0,0
slack,Ditch responsibilities,5,2,Not taut or held tightly in position; loose.,"Sarah, please, cut me some slack here.",0,0
malinger,Ditch responsibilities,5,2,Pretend to be ill in order to escape duty or work.,These people are difficult to write off as malingering employees.,0,0
bootlick,To suck-up to,5,2,Behave obsequiously towards someone in order to gain favour.,"Some bootlick brown-nose reported me to the council, so an officer was sent round.",0,0
fawn,To suck-up to,5,2,A young deer in its first year.,The doe is of a light fawn colour and has no horns.,0,0
grovel,To suck-up to,5,2,Lie or crawl abjectly on the ground with one's face downwards.,"I want someone who can contribute intelligent conversation, not grovel at my feet.",0,0
pander,To suck-up to,5,2,Gratify or indulge (an immoral or distasteful desire or taste or a person with such a desire or taste),He's got to pander to the vulgar and stupid audiences.,0,0
toady,To suck-up to,5,2,A person who behaves obsequiously to someone important.,I'm not prepared to toady to him just to save my job.,0,0
trounce,To defeat,5,3,Defeat heavily in a contest.,She trounced her rivals in the election.,0,0
vanquish,To defeat,5,3,Defeat thoroughly.,It is no honour for an eagle to vanquish a dove.,0,0
whitewash,To defeat,5,3,"A solution of lime and water or of whiting, size, and water, used for painting walls white.",He pledged that there would be no whitewash and that the police would carry out a full investigation.,0,0
absolve,Clear from blame,5,3,"Declare (someone) free from guilt, obligation, or punishment.","He could be absolved of murder, if he killed a man during archery practice!",0,0
acquit,Clear from blame,5,3,Free (someone) from a criminal charge by a verdict of not guilty.,He has never failed to acquit a client charged with murder.,0,0
exculpate,Clear from blame,5,3,Show or declare that (someone) is not guilty of wrongdoing.,He was exculpated by the testimony of several witnesses.,0,0
exonerate,Clear from blame,5,3,(of an official body) absolve (someone) from blame for a fault or wrongdoing.,The official report basically exonerated everyone.,0,0
vindicate,Clear from blame,5,3,Clear (someone) of blame or suspicion.,Miracles alone cannot vindicate the divinity of immoral doctrine.,0,0
compliant,Overly fawning,5,3,"Disposed to agree with others or obey rules, especially to an excessive degree; acquiescent.",For years I had tried to be a compliant and dutiful wife.,0,0
deferential,Overly fawning,5,3,Showing deference; respectful.,The young are deferential to their elders.,0,0
obsequious,Overly fawning,5,3,Obedient or attentive to an excessive or servile degree.,The little girl had obsequious manners.,0,0
servile,Overly fawning,5,3,Having or showing an excessive willingness to serve or please others.,Field work is largely performed by a servile class.,0,0
subservient,Overly fawning,5,3,Prepared to obey others unquestioningly.,The press was accused of being subservient to the government.,0,0
ardent,Very emotional,5,3,Very enthusiastic or passionate.,Alex had always been an ardent lover.,0,0
feverish,Very emotional,5,3,Having or showing the symptoms of a fever.,The whole place was a scene of feverish activity.,0,0
fervent,Very emotional,5,3,Having or displaying a passionate intensity.,It is my fervent hope that you will be able to take this project forward.,0,0
fervid,Very emotional,5,3,"Intensely enthusiastic or passionate, especially to an excessive degree.",He'd be detached from his most fervid followers and merciful and understanding toward foes.,0,0
fervor,Very emotional,5,3,Intense and passionate feeling.,Consumers met the dolls with such fervor that the company couldn't keep up with demand.,0,0
impassioned,Very emotional,5,3,Filled with or showing great emotion.,"When I heard the same voice, I made an impassioned plea.",0,0
passionate,Very emotional,5,3,"Having, showing, or caused by strong feelings or beliefs.",The young student was passionate about music.,0,0
vehement,Very emotional,5,3,"Showing strong feeling; forceful, passionate, or intense.",He was a vehement opponent of the new law.,0,0
zeal,Very emotional,5,3,Great energy or enthusiasm in pursuit of a cause or an objective.,His zeal and energy met everywhere with conspicuous success.,0,0
zealous,Very emotional,5,3,Having or showing zeal.,No one was more zealous than Neil in supporting the proposal.,0,0
zealot,Very emotional,5,3,"A person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals.","He was forceful, but by no means a zealot.",0,0
ferment,To incite,6,1,(of a substance) undergo fermentation.,An immense ferment took place.,0,0
foment,To incite,6,1,Instigate or stir up (an undesirable or violent sentiment or course of action),"The principal believed that Drake would be more likely to foment the fight than John, so he called him into the office first.",0,0
agitate,To incite,6,1,Make (someone) troubled or nervous.,"This feeling began to agitate me with a vexing, forward-reaching sense of a lack that should be filled.",0,0
instigate,To incite,6,1,Bring about or initiate (an action or event),It would not prove worthwhile to instigate a nuclear attack.,0,0
impassion,To incite,6,1,Make passionate.,The director of the charity made an impassioned plea for help.,0,0
kindle,To incite,6,1,Set (something) on fire.,"The stormcloud had come upon them, and in every face the fire which Pierre had watched kindle burned up brightly.",0,0
inflame,To incite,6,1,"Provoke or intensify (strong feelings, especially anger) in someone.",This act served still further to inflame the minds of the Belgians against the Dutch.,0,0
extremist,Enthusiasm,6,1,"A person who holds extreme political or religious views, especially one who advocates illegal, violent, or other extreme action.",We in Scotland have already seen how they will shamelessly exploit anything they believe can further their extremist cause.,0,0
fiery,Enthusiasm,6,1,Consisting of fire or burning strongly and brightly.,"Her hair was fiery red and curly, her frame tall and slender.",0,0
frenzied,Enthusiasm,6,1,Wildly excited or uncontrolled.,Two teenagers carried out a frenzied attack on a local shopkeeper.,0,0
arduous,Passionate,6,1,Involving or requiring strenuous effort; difficult and tiring.,She undertook the arduous task of monitoring the elections.,0,0
mordant,Passionate,6,1,(especially of humour) having or showing a sharp or critical quality; biting.,The salt is used as a mordant in dyeing and calico-printing.,0,0
civil,Polite,6,1,"Relating to ordinary citizens and their concerns, as distinct from military or ecclesiastical matters.",He said a civil good morning.,0,0
gallant,Polite,6,1,(of a person or their behaviour) brave; heroic.,The gallant soldiers lost their lives so that peace might reign again.,0,0
genteel,Polite,6,1,"Characterized by exaggerated or affected politeness, refinement, or respectability.",She always talks in such a genteel voice when she's on the phone.,0,0
obliging,Polite,6,1,Willing to do a service or kindness; helpful.,"He is hospitable, obliging, and specially well disposed to the foreigner.",0,0
punctilious,Polite,6,1,Showing great attention to detail or correct behaviour.,He was a punctilious young man.,0,0
solicitous,Polite,6,1,Characterized by or showing interest or concern.,She was very solicitous for our welfare.,0,0
tactful,Polite,6,1,Having or showing skill and sensitivity in dealing with others or with difficult issues.,"A tactful native minister, Sir Donald McLean, did the rest.",0,0
affable,Friendly,6,1,"Friendly, good-natured, or easy to talk to.",Her grandfather has always been the most affable man around.,0,0
amenable,Friendly,6,1,Open and responsive to suggestion; easily persuaded or controlled.,He was amenable to change.,0,0
communicative,Friendly,6,1,"Willing, eager, or able to talk or impart information.",She has become a lot more tolerant and communicative.,0,0
congenial,Friendly,6,1,(of a person) pleasing or liked on account of having qualities or interests that are similar to one's own.,"Bees find a highly congenial habitat in Mexico, and some honey is exported.",0,0
cordial,Friendly,6,1,Warm and friendly.,Alex was cordial to his father and formal to his sister.,0,0
gregarious,Friendly,6,1,(of a person) fond of company; sociable.,"Dolphins are gregarious, and large herds often follow ships.",0,0
benign,Harmless,6,2,Gentle and kind.,They are normally a more benign audience.,0,0
innocuous,Harmless,6,2,Not harmful or offensive.,They were innocuous pieces of code.,0,0
unoffending,Harmless,6,2,Not causing offence; harmless.,An unoffending motorist should not have been stopped.,0,0
